A,B,C,D
‚ ,‚ ,‚¢,‚¤
‚¦,‚¤,‚¢,‚¤
‚¦,‚¤,‚¢,‚¤
‚¢,‚¤,‚¦,‚ 
‚¤,‚¤,‚¦,‚¤
‚¢,‚¤,‚ ,‚¢
‚ ,‚¢,‚¢,‚¢
‚ ,‚¦,‚¤,‚¤
‚¤,‚¢,‚¤,‚¤
‚¤,‚¤,‚¤,‚¢
‚¢,‚¢,‚¤,‚ 
‚ ,‚¤,‚¢,‚¦
‚¢,‚ ,‚¦,‚¢
‚¦,‚¢,‚¤,‚ 
‚¦,‚¢,‚¦,‚ 
‚¤,‚¢,‚¦,‚ 
‚ ,‚ ,‚¢,‚¤
‚¤,‚ ,‚¦,‚ 
‚ ,‚ ,‚¢,‚¢
‚¦,‚¢,‚¦,‚¢
‚¤,‚ ,‚ ,‚¤
‚¢,‚¤,‚ ,‚¦
‚¤,‚¢,‚¢,‚¢
‚ ,‚¤,‚¤,‚ 
‚¦,‚ ,‚¢,‚ 
‚¢,‚ ,‚¤,‚¤
‚ ,‚¢,‚ ,‚ 
‚ ,‚ ,‚¢,‚¢
‚¦,‚ ,‚ ,‚¢
‚¦,‚¢,‚¢,‚¢
‚¤,‚¢,‚¦,‚ 
‚¦,‚¦,‚¤,‚ 
‚¦,‚¤,‚¢,‚¢
‚ ,‚¤,‚¢,‚¢
‚¦,‚¤,‚ ,‚ 
‚¦,‚¤,‚ ,‚¢
‚ ,‚ ,‚ ,‚¢
‚¢,‚ ,‚¦,‚¦
‚¢,‚ ,‚ ,‚ 
‚¦,‚ ,‚¤,‚¦
